City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Karaton,ID,75.78,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
473,Balkhash,KZ,78.33,scattered clouds,46.844,74.9804,Family
476,Mayumba,GA,70.05,overcast clouds,-3.432,10.6554,LIKWALE LODGE
477,Sao Jose Da Coroa Grande,BR,77.68,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
478,Beyneu,KZ,73.9,light rain,45.3167,55.2,NUR
479,Damara,CF,70.83,overcast clouds,4.9608,18.7035,
480,Kirovsk,UA,74.88,scattered clouds,48.6375,38.6428,
484,Aykhal,RU,67.17,clear sky,66.0,111.5,
485,Kalabo,ZM,61.59,few clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
488,Ust-Kulom,RU,60.01,clear sky,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
489,Namatanai,PG,79.43,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
491,Siguiri,GN,77.02,overcast clouds,11.6667,-9.5,
494,Sokoto,NG,76.19,overcast clouds,13.0609,5.239,Grand Ibro Hotel
495,Takoradi,GH,75.6,few clouds,4.8845,-1.7554,Raybow International Hotel
499,Golden,US,74.68,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
500,Hualmay,PE,66.49,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
501,Homer,US,66.04,few clouds,59.6425,-151.5483,Beluga Lake Lodge
503,Tortoli,IT,79.2,clear sky,39.9256,9.6572,Hotel La Bitta
506,Vizinga,RU,61.03,clear sky,61.0749,50.1031,"Gostinitsa ""Nadezhda"""
511,Kokopo,PG,77.59,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
513,Dingle,PH,77.68,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
518,Kilimatinde,TZ,71.47,broken clouds,-5.85,34.95,
521,Alyangula,AU,67.48,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
522,Taltal,CL,65.53,overcast clouds,-25.4,-70.4833,Residencial Karime
527,Margate,GB,68.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
530,Voyinka,UA,75.6,clear sky,45.8699,33.9914,
533,Omboue,GA,71.91,overcast clouds,-1.5746,9.2618,Hotel Olako
534,Soria,ES,77.11,few clouds,41.6667,-2.6667,Casa Rural Sierra de Inodejo
537,Pontianak,ID,75.11,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
538,Makat,KZ,78.71,broken clouds,47.6469,53.3463,Umit
539,Rrogozhine,AL,77.18,clear sky,41.0764,19.6653,HOTEL - MOTEL B&B
541,Doraha,IN,78.94,light rain,30.8167,76.0167,OYO 2141 Hotel Grand Pearl
542,Obernai,FR,78.75,clear sky,48.4631,7.481,Le Parc Hôtel Obernai & Spa
545,Batagay-Alyta,RU,67.71,overcast clouds,67.8006,130.4114,
546,Karpogory,RU,65.44,overcast clouds,64.0019,44.4451,Hotel Pinezhskaya Sloboda
550,Bayan,CN,70.5,overcast clouds,46.0833,127.4,Wanhao Inn
553,Wuzhou,CN,77.61,broken clouds,23.4833,111.3167,Wuzhou Hostel
554,Jonkoping,SE,67.71,clear sky,57.7814,14.1562,Scandic Portalen
555,Jalingo,NG,74.16,light rain,8.8833,11.3667,Debright Motel
556,Monticello,US,76.35,scattered clouds,45.3055,-93.7941,Super 8 by Wyndham Monticello
557,Marki,PL,70.99,clear sky,52.3206,21.1047,Hotel Złote Dęby
561,Huarmey,PE,68.72,clear sky,-10.0681,-78.1522,Hotel Miramar
562,Cabatuan,PH,77.92,overcast clouds,10.8794,122.486,MVC Transient Room
564,Sisophon,KH,77.47,clear sky,13.5859,102.9737,Pyramid Hotel
565,Trenggalek,ID,72.27,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
567,Preeceville,CA,70.95,few clouds,51.95,-102.6677,Golden West Hotel
571,Rantauprapat,ID,74.88,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
574,Padang,ID,78.48,light rain,-0.9492,100.3543,Mercure Padang
575,Birao,CF,70.43,overcast clouds,10.2849,22.7882,
576,Sibu,MY,74.17,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
577,Boffa,GN,79.5,scattered clouds,10.1667,-14.0333,Hôtel Niara Belly
578,Nouadhibou,MR,74.37,clear sky,20.931,-17.0347,El Medina
579,Kerema,PG,77.11,overcast clouds,-7.9631,145.7785,Frena Lodge
580,Mihalaseni,RO,75.72,overcast clouds,47.8833,27.0667,
583,Camana,PE,65.37,clear sky,-16.6228,-72.7111,Hostal Morales
584,Sibiti,CG,68.16,overcast clouds,-3.6819,13.3499,Gaby et confort
591,Uspenka,UA,78.19,broken clouds,48.3903,39.1619,"Санаторий-профилакторий ""Парус"""
595,Palmares Do Sul,BR,64.81,moderate rain,-30.2578,-50.5097,Hotel Campos Dourados.
596,La Rioja,ES,74.98,few clouds,42.25,-2.5,Casa Concejos
599,Mitu,CO,74.91,overcast clouds,1.1983,-70.1733,
602,Vostok,RU,63.9,overcast clouds,46.4856,135.8833,
603,Tynda,RU,61.36,moderate rain,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
609,Lavras,BR,77.49,clear sky,-21.2453,-44.9997,Hotel Ouro Lavras
616,Beloha,MG,63.73,clear sky,-25.1667,45.05,
617,Farafangana,MG,67.57,scattered clouds,-22.8167,47.8333,Miarina
618,Dryden,CA,61.09,broken clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
619,Arilje,RS,77.36,overcast clouds,43.7531,20.0956,Apartman Avakumovic
621,Zhezkazgan,KZ,73.31,few clouds,47.8043,67.7144,Hotel Zumrat
623,Usinsk,RU,63.07,broken clouds,65.9939,57.5281,Dobro Pozhalovaty
624,Raga,SS,68.38,overcast clouds,8.4596,25.678,
625,Juneau,US,60.84,mist,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
627,Negara,ID,73.76,broken clouds,-8.3151,114.6025,Villa Maya West Bali
628,Vanavara,RU,62.01,overcast clouds,60.34,102.2797,
629,Barsuki,RU,63.46,overcast clouds,54.2655,37.4875,"Zagorodnyy Klub ""Berloga"""
634,Yenagoa,NG,72.86,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
635,Mananara,MG,66.92,light rain,-16.1667,49.7667,Chez Roger
639,Shangzhi,CN,69.67,broken clouds,45.2167,127.9667,Ocean Zhixing Business Clubhouse
641,Nadym,RU,60.93,scattered clouds,65.5333,72.5167,Apartment on Zvereva
642,Zatoka,UA,76.46,clear sky,46.0725,30.4654,Sonyachna
643,Rolante,BR,77.67,moderate rain,-29.6506,-50.5758,Hotel Tadiotto
645,Baiyin,CN,68.54,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
646,Wanlaweyn,SO,74.57,clear sky,2.6185,44.8938,GAASHAAN HOME
647,Namtsy,RU,66.34,clear sky,62.7161,129.6658,"""Эңсиэли Киин"""
649,Alappuzha,IN,78.01,overcast clouds,9.49,76.3264,Panoramic Sea Resort
651,Zhuanghe,CN,73.36,clear sky,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
653,Moosomin,CA,68.29,few clouds,50.1333,-101.6677,Motel 6
